job_location,search_city,search_country,job_level,job_type,job_name,languages,certifications,soft_skills,programming_languages,technologies,academic_degrees,knowledge
Naperville- IL,Homer,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-CSS-Go-SQL-HTML-JavaScript-Python,Google Cloud-AWS-Azure,No found,Security-Databases-Agile-Web Development-Cloud Computing
Joliet- IL,Homer,United States,Mid senior,Onsite,Software Engineer,No found,No found,Teamwork,Java-Go-SQL-Scala-JavaScript-Python,Node.js-Google Cloud-AWS-Azure,No found,Agile-Databases-Cloud Computing
Oak Brook- IL,Homer,United States,Mid senior,Remote,Software Engineer,No found,No found,Problem Solving-Leadership-Organization-Creativity-Communication-Teamwork,SQL,Azure,No found,Security-Testing-Version Control-DevOps-Databases-Cloud Computing
Hinsdale- IL,Homer,United States,Mid senior,Remote,Software Engineer,No found,No found,Interpersonal Skills-Problem Solving-Leadership-Organization-Communication-Teamwork,SQL,No found,No found,Agile-DevOps-Databases-Security
Will County- IL,Homer,United States,Mid senior,Remote,Software Developer,No found,No found,Problem Solving-Leadership-Empathy-Communication-Teamwork,Java-CSS-HTML-JavaScript-Python,React-Node.js,No found,Web Development-Testing-CI CD-Version Control
Lisle- IL,Homer,United States,Mid senior,Remote,Full Stack Software Engineer,No found,No found,Communication-Teamwork-Adaptability,JavaScript-Python,Node.js-RESTful APIs-AWS,No found,Security-Databases-Project Management-Agile-Cloud Computing-Web Development
Will County- IL,Homer,United States,Mid senior,Remote,Software Engineer,No found,No found,Problem Solving-Leadership-Adaptability-Communication-Teamwork,TypeScript-CSS-SQL-HTML-JavaScript,RESTful APIs-Azure-Redis-Angular,No found,Testing-BDD-Version Control-Databases-Mobile Development-Agile-Cloud Computing-Web Development-TDD
Cicero- IL,Homer,United States,Mid senior,Remote,Software Engineer,No found,No found,Communication-Teamwork-Adaptability-Creativity,TypeScript-Ruby-CSS-HTML-JavaScript,Ruby on Rails-RESTful APIs-PostgreSQL-Express,No found,Testing-Databases-Web Development
Oak Brook- IL,Homer,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Teamwork,Java,Jenkins,No found,Testing-Version Control-Mobile Development-Networking-Agile
Franklin Park- IL,Homer,United States,Mid senior,Hybrid,Full Stack Software Engineer,No found,No found,Communication-Teamwork,JavaScript,Node.js-React-Express-MongoDB-RESTful APIs,No found,Testing-Databases-Web Development
Elmhurst- IL,Homer,United States,Mid senior,Hybrid,Software Architect,No found,No found,Leadership-Teamwork-Creativity,No found,No found,No found,Security-Web Development-Version Control
Westmont- IL,Homer,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Communication-Teamwork-Creativity,Java-Python,No found,No found,Web Development
Oakbrook Terrace- IL,Homer,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Leadership-Negotiation-Communication-Teamwork,SQL-JavaScript,RESTful APIs-Azure-Angular,No found,Testing-DevOps-Version Control-Security-Databases-Mobile Development-Project Management-Data Science-Agile-Cloud Computing-Web Development
Aurora- IL,Homer,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Leadership-Adaptability-Creativity-Communication-Teamwork,Go,No found,No found,No found
Naperville- IL,Homer,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Interpersonal Skills-Problem Solving-Leadership-Organization-Communication-Teamwork,JavaScript,Azure,No found,Agile-Testing-Web Development-Cloud Computing
Virginia Beach- VA,Virginia Beach,United States,Mid senior,Onsite,FrontEnd Software Engineer,No found,No found,Problem Solving-Leadership-Organization-Decision Making-Creativity-Communication-Work Ethic-Teamwork,TypeScript-HTML-JavaScript-CSS,React-RESTful APIs,PhD,Testing-Security-Project Management-Data Science-Agile-Web Development
Norfolk- VA,Virginia Beach,United States,Mid senior,Hybrid,Security Software Engineer,No found,No found,Problem Solving-Leadership-Adaptability-Communication-Teamwork,Java-Python,Angular,Bachelors,Security-Version Control-Software Architecture
Raleigh-Durham-Chapel Hill Area,Raleigh,United States,Associate,Onsite,Software Engineer,No found,No found,Communication-Teamwork-Creativity,Java,No found,No found,Mobile Development-Testing
Cary- NC,Raleigh,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Communication,TypeScript-Go-Rust,Node.js-Kubernetes-Azure-Express-PostgreSQL-Docker-Redis-Google Cloud,No found,Databases-Cloud Computing
Raleigh- NC,Raleigh,United States,Mid senior,Onsite,Software Developer,No found,No found,Communication-Organization-Teamwork,SQL-Shell,No found,No found,Networking-Security-Databases-Data Science
Durham- NC,Raleigh,United States,Mid senior,Onsite,Software Engineer,No found,No found,Teamwork-Adaptability-Creativity,Python,No found,PhD,Testing
Durham- NC,Raleigh,United States,Mid senior,Onsite,Software Developer,No found,No found,Problem Solving-Organization-Creativity-Communication-Teamwork,Java-CSS-SQL-HTML-JavaScript-Python,AWS-Kubernetes-Vue.js-Node.js-Azure-Docker-RESTful APIs-Google Cloud,Associate,Testing-DevOps-Version Control-Databases-Data Science-Agile-Cloud Computing-Web Development
Raleigh- NC,Raleigh,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Leadership-Adaptability-Creativity-Communication-Teamwork,Go-SQL-Ruby-Python,Terraform-AWS-Kubernetes-GraphQL,No found,Testing-Security-Databases-Data Science-Agile-Cloud Computing-Web Development
Raleigh- NC,Raleigh,United States,Mid senior,Remote,Software Engineer,English,No found,Communication-Leadership-Teamwork-Problem Solving,Go-Python,No found,No found,Networking-CI CD
Raleigh- NC,Raleigh,United States,Mid senior,Remote,Software Engineer,No found,No found,Teamwork-Adaptability,Go-Shell,RESTful APIs,No found,Security
Raleigh- NC,Raleigh,United States,Mid senior,Remote,Security Software Engineer,English,No found,Interpersonal Skills-Communication-Teamwork-Adaptability,Ruby-Java-Go-PHP-Rust-Python,No found,No found,Testing-Security-Data Science
Raleigh- NC,Raleigh,United States,Mid senior,Remote,Software Engineer,No found,No found,Communication-Time Management-Teamwork-Adaptability,Go-Python,Kubernetes-PostgreSQL-Docker,No found,Networking-Databases-Version Control-Data Science
Raleigh- NC,Raleigh,United States,Mid senior,Hybrid,BackEnd Software Developer,No found,No found,Organization-Decision Making-Leadership-Teamwork,Kotlin-Java,Kubernetes-AWS-Docker-GraphQL,No found,Testing-DevOps-Security-Mobile Development-Cloud Computing-Software Architecture
Raleigh- NC,Raleigh,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Teamwork,TypeScript-Java-Go-SQL-HTML-JavaScript-Python,AWS-Kubernetes-Angular-Docker-Jenkins-RESTful APIs,No found,Testing-DevOps-Security-Databases-Agile-Cloud Computing-Web Development-Software Architecture
Raleigh- NC,Raleigh,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Leadership-Organization-Creativity-Communication-Teamwork,No found,Spark,No found,Networking-Project Management
Cary- NC,Raleigh,United States,Mid senior,Hybrid,Software Developer,No found,No found,Leadership-Organization-Adaptability-Creativity-Communication-Teamwork,TypeScript-SQL-Java,React-RESTful APIs-Node.js,No found,Web Development-Testing-Databases-Security
Durham- NC,Raleigh,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Teamwork,TypeScript-Java-SQL-JavaScript-Python,AWS-Vue.js-Node.js-GraphQL-Spring-React-Azure-Angular-RESTful APIs-Google Cloud-SOAP,No found,Testing-Databases-Web Development-Cloud Computing-Software Architecture
Raleigh-Durham-Chapel Hill Area,Raleigh,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Leadership-Teamwork,SQL-Kotlin-Java,AWS-Kubernetes-Spring-Docker-Google Cloud,No found,Databases-Mobile Development-Cloud Computing-Software Architecture-TDD
San Francisco- CA,Richmond,United States,Mid senior,Remote,Software Engineer,No found,No found,Teamwork,Go-Python,Kubernetes,No found,Testing-DevOps-Data Science-Networking-Agile-Cloud Computing
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,Software Engineer,No found,No found,Work Ethic-Leadership-Teamwork-Creativity,No found,AWS,Masters,Agile-Cloud Computing
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,Software Engineer,No found,No found,Teamwork-Creativity,No found,No found,No found,Web Development-Data Science
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Leadership-Teamwork,TypeScript-HTML-JavaScript,React-Node.js-AWS-Azure,No found,Testing-Security-Data Science-Agile-Cloud Computing-Web Development
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,AI Software Engineer,No found,No found,Communication-Problem Solving-Teamwork-Creativity,Java-Python,AWS-Azure-PyTorch-TensorFlow-Google Cloud,No found,Testing-Cloud Computing-Data Science
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,Software Engineer,English-Japanese-Korean,No found,Problem Solving-Decision Making-Creativity-Communication-Teamwork,TypeScript-JavaScript,AWS-Vue.js-GraphQL-React-Azure-MySQL-Angular-PostgreSQL-Google Cloud,No found,Web Development-CI CD-Cloud Computing-Databases
Honolulu Metropolitan Area,Kaneohe,United States,Mid senior,Onsite,Software Engineer,No found,No found,Leadership-Organization-Creativity-Work Ethic-Teamwork,No found,PostgreSQL-MySQL,No found,Testing-Databases-Security-Project Management-Data Science
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Leadership-Teamwork,TypeScript-HTML-JavaScript,React-Node.js-AWS-Azure,No found,Security-Data Science-Agile-Web Development-Cloud Computing-Software Architecture
Honolulu- HI,Kaneohe,United States,Mid senior,Remote,Software Engineer,No found,No found,Communication-Time Management-Teamwork-Adaptability,Go-Shell-Python,Kubernetes-PostgreSQL-Docker,No found,Networking-Databases-Version Control-Data Science
Honolulu- HI,Kaneohe,United States,Mid senior,Remote,Software Engineer,No found,No found,Communication-Problem Solving-Teamwork,No found,Kubernetes-Docker-RESTful APIs,No found,Networking-Testing-Security
Honolulu- HI,Kaneohe,United States,Mid senior,Remote,Software Engineer,English,No found,Communication-Teamwork,No found,MySQL-MongoDB-PostgreSQL-Kubernetes,Bachelors,Networking-Databases-Web Development-Data Science
Honolulu- HI,Kaneohe,United States,Mid senior,Remote,Software Engineer,English,No found,Communication-Leadership-Teamwork-Problem Solving,Go-Python,No found,No found,Networking-CI CD
Honolulu- HI,Kaneohe,United States,Mid senior,Remote,Software Engineer,No found,No found,Communication-Teamwork-Adaptability-Creativity,TypeScript-JavaScript-Ruby,Ruby on Rails-RESTful APIs-PostgreSQL-Express,No found,Testing-Databases-Web Development
Honolulu- HI,Kaneohe,United States,Mid senior,Hybrid,Software Engineer,English,No found,Problem Solving-Leadership-Organization-Adaptability-Creativity-Communication-Teamwork,Java-Go-JavaScript-Python,Kubernetes-AWS-Docker-RESTful APIs,No found,Cloud Computing-Web Development-Version Control-Data Science
Honolulu- HI,Kaneohe,United States,Mid senior,Hybrid,Software Developer,No found,No found,Problem Solving-Leadership-Organization-Adaptability-Decision Making-Communication-Teamwork,SQL,No found,No found,Databases
Lawrenceville- GA,Bethlehem,United States,Mid senior,Onsite,Software Developer,No found,No found,Organization-Communication-Problem Solving-Teamwork,Go-JavaScript,Kubernetes-Azure-Docker-Angular,No found,DevOps-Security-Version Control-Agile-Cloud Computing-Web Development-Software Architecture
Athens- GA,Bethlehem,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork,Java-Go-SQL-Scala-JavaScript-Python,AWS-Kubernetes-Node.js-Azure-Docker-Google Cloud,No found,Agile-Web Development-Databases-Cloud Computing
Suwanee- GA,Bethlehem,United States,Mid senior,Onsite,Software Developer,No found,No found,Interpersonal Skills-Organization-Teamwork,CSS-HTML-JavaScript-Java,No found,No found,Agile-Web Development-Software Architecture
Athens- GA,Bethlehem,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork,Java-Go-SQL-Scala-Python,AWS-Kubernetes-Node.js-Azure-Docker-Google Cloud,No found,Agile-Web Development-Databases-Cloud Computing
Athens- GA,Bethlehem,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-CSS-SQL-HTML-JavaScript,AWS-Vue.js-Node.js-Azure-Angular-Google Cloud,No found,Agile-Web Development-Databases-Cloud Computing
Suwanee- GA,Bethlehem,United States,Mid senior,Onsite,Software Developer,No found,No found,Interpersonal Skills-Organization-Teamwork,CSS-HTML-JavaScript-Java,No found,No found,Agile-Web Development
Athens- GA,Bethlehem,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-CSS-Go-SQL-HTML-JavaScript-Python,AWS-React-Azure-MySQL-Angular-PostgreSQL-Google Cloud,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture
Athens- GA,Bethlehem,United States,Mid senior,Onsite,Software Engineer,No found,No found,Organization-Leadership-Creativity-Communication-Teamwork,SQL-JavaScript-HTML,No found,No found,Testing-Databases-Web Development-Data Science
Lawrenceville- GA,Bethlehem,United States,Mid senior,Onsite,Software Developer,No found,No found,Organization-Communication-Problem Solving-Teamwork,SQL-HTML,React-Angular-Express,No found,Testing-Databases-Version Control-Security-Mobile Development-Web Development
Windy Hill- GA,Bethlehem,United States,Mid senior,Onsite,Software Engineer,No found,No found,Organization-Leadership-Adaptability-Communication-Teamwork,TypeScript-JavaScript-Java,React-Google Cloud-Angular-Vue.js,No found,Testing-Security-Agile-Web Development-Cloud Computing-Software Architecture
Suwanee- GA,Bethlehem,United States,Mid senior,Onsite,Software Engineer,No found,No found,Problem Solving-Leadership-Creativity-Communication-Teamwork,Python,No found,No found,No found
Windy Hill- GA,Bethlehem,United States,Mid senior,Onsite,Software Engineer,No found,No found,Organization-Leadership-Adaptability-Communication-Teamwork,TypeScript-JavaScript-Java,React-Google Cloud-Angular-Vue.js,No found,Testing-Security-Agile-Web Development-Software Architecture
Windy Hill- GA,Bethlehem,United States,Mid senior,Onsite,Software Engineer,No found,No found,Communication-Leadership-Teamwork-Adaptability,SQL-JavaScript,Node.js-GraphQL-React-Angular-Google Cloud,No found,Testing-Databases-Version Control-Agile-Cloud Computing-Web Development
